Category,Key,English,Swahili,File,Line
"welcome-to-yetu","Welcome to Yetu","","i18n/server-translations.ts",8
"connection-restored","🔗 Connection restored","","components/OfflineSupport.tsx",49
"connection-lost","📴 Connection lost","","components/OfflineSupport.tsx",56
"offline","Offline","","components/OfflineSupport.tsx",133
"retry","Retry","","components/OfflineSupport.tsx",143
"connection-problem","Connection Problem","","components/OfflineSupport.tsx",255
"we-are-having-trouble-connecting-to-our-servers-please-check-your-internet-connection","We are having trouble connecting to our servers. Please check your internet connection.","","components/OfflineSupport.tsx",257
"error-details","Error details","","components/OfflineSupport.tsx",265
"try-again","Try Again","","components/OfflineSupport.tsx",280
"reload-page","Reload Page","","components/OfflineSupport.tsx",288
"getting-location","Getting location...","","components/Navbar.tsx",46
"location-unavailable","Location unavailable","","components/Navbar.tsx",62
"geolocation-not-supported","Geolocation not supported","","components/Navbar.tsx",64
"geolocation-error","Geolocation error:","","components/Navbar.tsx",83
"unable-to-get-location","Unable to get location","","components/Navbar.tsx",87
"geocoding-failed","Geocoding failed","","components/Navbar.tsx",104
"location-found","Location found","","components/Navbar.tsx",115
"reverse-geocoding-error","Reverse geocoding error:","","components/Navbar.tsx",123
"unable-to-fetch-address","Unable to fetch address","","components/Navbar.tsx",127
"sign-out-error","Sign out error:","","components/Navbar.tsx",143
"search-products","Search products","","components/Navbar.tsx",221
"sign-in","Sign In","","components/Navbar.tsx",270
"profile","Profile","","components/Navbar.tsx",294
"orders","Orders","","components/Navbar.tsx",307
"sign-out","Sign Out","","components/Navbar.tsx",316
"search-products-stores-and-recipes","Search products, stores, and recipes","","components/Navbar.tsx",342
"stores","Stores","","components/Navbar.tsx",366
"shop-from-local-groceries-restaurants-and-pharmacies-in-you-area-get-your-items-delivered-to-you-ins","Shop from local groceries, restaurants, and pharmacies in you area. Get your items delivered to you instantly.","","components/Hero.tsx",22
"farm-fresh-produce-pantry-essentials-and-daily-necessities-delivered-in-minutes","Farm-fresh produce, pantry essentials, and daily necessities delivered in minutes.","","components/Hero.tsx",24
"fresh-groceries-delivered-to-your-door-in-minutes-after-your-order","Fresh Groceries Delivered to your door in minutes after your order.","","components/Hero.tsx",25
"shop-groceries","Shop Groceries","","components/Hero.tsx",26
"min-min","{min} min","","components/Hero.tsx",34
"delicious-food","Delicious Food","","components/Hero.tsx",42
"hot-fresh-always","Hot & Fresh Always","","components/Hero.tsx",43
"your-favorite-restaurants-and-local-eateries-delivering-happiness-one-meal-at-a-time","Your favorite restaurants and local eateries, delivering happiness one meal at a time.","","components/Hero.tsx",44
"delicious-meals-from-restaurants-near-you-are-ready-to-be-delivered-to-you","Delicious Meals from Restaurants near you are ready to be delivered to you","","components/Hero.tsx",45
"buy-meals","Buy Meals","","components/Hero.tsx",46
"healthcare-essentials","Healthcare Essentials","","components/Hero.tsx",61
"trusted-reliable","Trusted & Reliable","","components/Hero.tsx",62
"prescription-medications-health-products-and-wellness-items-delivered-with-care","Prescription medications, health products, and wellness items delivered with care.","","components/Hero.tsx",63
"shop-prescription-medications-and-health-products-without-leaving-your-home","Shop Prescription Medications and health products, without leaving your home.","","components/Hero.tsx",64
"buy-medications","Buy Medications","","components/Hero.tsx",65
"start-shopping","Start Shopping","","components/Hero.tsx",150
"become-a-merchant","Become a Merchant","","components/Hero.tsx",169
"partner-stores","Partner Stores","","components/Hero.tsx",181
"products","Products","","components/Hero.tsx",182
"avg-delivery","Avg Delivery","","components/Hero.tsx",183
